status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5883973269_10155136518018270,Tonight Labour is giving up on the Brexit bill. Tim Farron says it is now only the Liberal Democrats who are fighting for a final say for the British people on Theresa May's deal.,Labour has given up on Brexit bill,video,https://www.facebook.com/libdems/videos/10155136518018270/,2017-03-13 13:22:36,852,76,192,749,70,1,13,10,9
5883973269_10155135683568270,"""My political views have always been liberal: tolerance, equality of opportunity, protection of civil liberties, freedom of speech, social integration, progressive economics. But I have never joined a political party until now. For the first time I feel politically disenfranchised, that my views are not being represented by the current Government nor the so called 'opposition'. Moreover, I am terrified by the global turn of events and the reemergence of far right attitudes and consequent behaviour across Europe, in the US and the UK. The only only band singing my tune is the Liberal Democrats.""

Marion Gillie, retired psychologist, Oxford",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155135683568270/?type=3,2017-03-13 06:53:16,268,13,32,252,16,0,0,0,0
5883973269_10155125679923270,"Well done Kieran! Another seat taken from the Conservatives as people continue to turn to our vision of an open, tolerant and united Britain.",Lib Dems score 'stunning' victory in Tory heartland by-election,link,http://www.oxfordmail.co.uk/news/15147593.Lib_Dems_score__stunning__victory_in_Tory_heartland_by_election/,2017-03-10 15:28:20,1827,66,141,1675,133,3,14,0,2
5883973269_10155120721693270,"BREAKING NEWS! Liberal Democrat president Sal Brinton has an exciting announcement about our membership numbers.

Join the fastest growing party in British politics today: www.libdems.org.uk/join",Latest Liberal Democrat membership numbers,video,https://www.facebook.com/libdems/videos/10155120721693270/,2017-03-10 05:59:00,585,40,208,495,75,5,10,0,0
5883973269_10155120595303270,"We must fight for the right to stay for British citizens living in other EU countries - and those EU nationals living here in the UK. Let's not use these people as 'bargaining chips'.

Join Nick Clegg in backing our Right To Stay campaign: www.libdems.org.uk/right-to-stay",Right to Stay campaign,video,https://www.facebook.com/libdems/videos/10155120595303270/,2017-03-09 13:22:44,747,66,221,676,66,0,4,1,0
5883973269_10155119302133270,"If we truly want an open, tolerant and united Britain we have to save our NHS from this hard Brexit Conservative government.","An open, tolerant and united Britain",video,https://www.facebook.com/libdems/videos/10155119302133270/,2017-03-09 04:26:56,153,10,35,131,12,1,4,2,3
5883973269_10155115666088270,"The leader of Surrey County Council has been secretly recorded telling colleagues he had secured a ""gentleman's agreement"" with ministers on social care - directly contradicting Theresa May's own words.",Theresa May's social care fibs,video,https://www.facebook.com/libdems/videos/10155115666088270/,2017-03-08 14:24:00,149,18,60,80,1,17,2,3,46
5883973269_10155116799048270,"Philip Hammond just delivered his Brexit Budget squeeze - and it is going to hurt you, your family and our country. It's clear that you cannot have a strong economy and a hard Brexit.

This is what it means for you: www.libdems.org.uk/budget2017",Budget 2017: What it means for you,video,https://www.facebook.com/libdems/videos/10155116799048270/,2017-03-08 13:15:06,265,34,126,217,15,2,1,23,7
5883973269_10155116231838270,The tax hike will hit five million people and breaks a Tory manifesto promise not to increase National Insurance.,Tories break manifesto pledge with National Insurance hikes,link,http://www.libdems.org.uk/national-insurance-hikes-budget-2017,2017-03-08 09:23:22,220,51,105,130,2,5,1,13,69
5883973269_10155116054993270,"Remember, you can't have a strong NHS with a hard Brexit. As the Chancellor delivers #Budget2017, he needs to wake up to the realities of the NHS and social care crisis.",10 times you couldn't ignore the NHS and care crisis,link,http://www.libdems.org.uk/10_times_you_couldn_t_ignore_the_nhs_and_care_crisis,2017-03-08 07:56:32,77,10,14,69,4,1,2,1,0
5883973269_10155115606578270,You can't have a strong NHS with a hard Brexit. The NHS needs an immediate cash injection. Share if you agree!,Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155115606578270/?type=3,2017-03-08 05:29:31,348,37,208,320,23,0,2,3,0
5883973269_10155095849448270,"Happy International Women's day! As Sarah Olney says in her speech, let's celebrate everyday's achievement of woman whether it's in the home or in the work place.",Happy International Women's day!,video,https://www.facebook.com/libdems/videos/10155095849448270/,2017-03-08 01:11:00,263,47,62,242,14,0,0,6,1
5883973269_10155112021668270,"From fighting to retain Single Market access to securing a final say on the Brexit deal, the Liberal Democrats are opposing Theresa May's damaging, hard Brexit.","The Liberal Democrats. Open, tolerant and united",video,https://www.facebook.com/libdems/videos/10155112021668270/,2017-03-07 06:49:27,564,63,147,486,61,2,10,1,4
5883973269_10155109524523270,Dr Mohsin Khan reveals just what kind of pressures the NHS is facing. We are calling for an extra £4bn of funding in this week's Budget for health and social care services to tackle the crisis emerging across the country.,,video,https://www.facebook.com/libdems/videos/10155109524523270/,2017-03-06 13:30:00,117,15,43,105,5,0,1,6,0
5883973269_10155108541318270,"In this exclusive opinion piece for The Guardian, Tim Farron sets out the Liberal Democrats' key demand ahead of the Budget speech.

#Budget2017",Tim Farron: We need a £4bn cash injection now to save the health and care services,link,https://www.theguardian.com/commentisfree/2017/mar/06/tim-farron-liberal-democrats-cash-injection-nhs-care-services,2017-03-06 05:46:04,207,19,76,182,22,2,0,1,0
5883973269_10155095688188270,"Let's give the West Midlands a great new Mayor who will stand up against a hard Brexit.

Back Beverley Nielsen for West Midlands' campaign: www.crowdfunder.co.uk/beverleynielsen/",Beverley Nielsen for West Midlands Mayor,video,https://www.facebook.com/libdems/videos/10155095688188270/,2017-03-05 14:00:56,260,9,35,232,25,0,1,0,2
5883973269_10155105045513270,"We are holding more than 100 events across the UK this weekend, campaigning for Britain to keep Single Market access and for the Right To Stay for EU nationals living here and Britons abroad. Tim Farron joined one of the events yesterday. Find your nearest event: www.libdems.org.uk/europe-day-of-action",Europe Action Weekend,video,https://www.facebook.com/libdems/videos/10155105045513270/,2017-03-05 04:28:52,458,33,40,411,39,2,1,0,5
5883973269_10155102971763270,"We've just selected Jackie Pearcey as our candidate for the Manchester Gorton by-election!

Jackie was a councillor in Gorton for 21 years and she has lived in the constituency since she moved here as a student and has made Manchester her home. Jackie works locally in the nuclear industry after obtaining her PhD from Manchester University.

Help get her campaign off to a flying start - donate today: https://libdems.nationbuilder.com/gorton-donate",Donate to our campaign for Manchester Gorton,link,https://libdems.nationbuilder.com/gorton-donate,2017-03-04 13:12:53,222,16,16,202,19,0,1,0,0
5883973269_10155102116453270,"Follow the live coverage of our country wide action weekend for Europe! Share your photos and videos with us via twitter, using #dayofaction!",Europe action weekend - live blog,link,http://www.libdems.org.uk/europe_action_weekend_live_blog,2017-03-04 07:30:56,64,1,7,59,5,0,0,0,0
5883973269_10155099458503270,"""I have two little girls and on June 24th I was suddenly terrified for the world, the country, even the town I was raising them in. We live on the outskirts of Barnsley, one of the most pro-leave areas of the UK. It suddenly felt like it was no longer enough to sit in my kitchen and complain to my husband about politics. I felt powerless and frustrated and with an overwhelming need to DO something. So I joined the Lib Dems. I've already had the opportunity to work with some incredible campaigners. It's been pretty amazing. And I think the best is yet to come.""

Hannah Kitching, 37, full-time mum, from Penistone, South Yorkshire

You too can join the Liberal Democrats: www.libdems.org.uk/join",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155099458503270/?type=3,2017-03-04 01:45:00,314,29,36,293,19,1,0,0,1
5883973269_10155099545268270,"Tomorrow and Sunday we are holding a National weekend of action for Europe! 

There will be over a hundred events organised all over the country to spread the word and fight against this hard Brexit Government.

You can find your nearest event on the Liberal Democrats website here > http://libdems.org.uk/europe-day-of-action

So get involved and tweet your photos and/or videos to @libdems #libdems",National weekend of action for Europe,video,https://www.facebook.com/libdems/videos/10155099545268270/,2017-03-03 12:38:26,371,45,112,335,29,0,6,0,1
5883973269_10155098523683270,"Ming Campbell: There are about 3 million people living in the United Kingdom who are EU nationals but not from the United Kingdom. Some of them are mothers and fathers of British citizens because their children are born in Britain. They are husbands and wives of British citizens.

Are we seriously suggesting we would tell these mothers and fathers and husbands and wives, that they must be expelled from the United Kingdom?

Support our Right To Stay campaign to fight for EU citizens right to live in the UK as well as UK citizens rights to live in the EU.",,video,https://www.facebook.com/libdems/videos/10155098523683270/,2017-03-03 06:11:12,1229,111,400,1103,88,2,3,25,8
5883973269_10155095332513270,"Join us this Saturday and Sunday to fight against a hard Brexit! We have  events all over the country so go ahead and find the nearest one to you 

http://www.libdems.org.uk/europe-day-of-action",Tim Farron,photo,https://www.facebook.com/timfarronmp/photos/gm.1393911827334483/1602467216436940/?type=3,2017-03-02 06:47:12,105,30,0,92,5,0,6,0,2
5883973269_10155092510018270,"""I became a Lib Dem after being a Labour member, councillor and mayor of Lowestoft. I am passionate about fairness and internationalism, I am socially liberal and care about recognising that individuals need unique opportunities. I also feel there is a covenant between state and society which provides safety and wellbeing in return for being productive within our society.

To deliver these things I believe in fiscal responsibility and that money raised from people and organisations in tax should be treated with the greatest care and with as little waste as possible. I didn't leave Labour, I came home to the Lib Dems, the only party who marry all of my political beliefs.""

Tod Sullivan, 39, Mental Health Service Manager, Lowestoft, Suffolk",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155092510018270/?type=3,2017-03-02 01:14:01,364,18,64,338,23,0,3,0,0
5883973269_10155093715978270,"We have tonight spearheaded the government's first Brexit defeat, as peers have voted in favour of an amendment to the Brexit bill to guarantee the rights of EU citizens living in the UK.",Right To Stay,video,https://www.facebook.com/righttostay/videos/1286783861405337/,2017-03-01 15:07:11,876,95,0,719,118,4,10,0,25
5883973269_10155093211568270,"Ahead of a crucial vote in the House of Lords this afternoon on EU citizens Right To Stay, Tim Farron has this message for everyone, regardless if you voted remain or leave.",Tim Farron on Right To Stay,video,https://www.facebook.com/libdems/videos/10155093211568270/,2017-03-01 11:17:25,514,59,268,449,51,1,5,1,7
5883973269_10155092836983270,"Since the referendum last June, the government has been talking about new free trade agreements with countries across the world. But it's critical that when the government talks about free trade, they are also committed for fairtrade. 

This Fairtrade Fortnight, Sarah Olney, Tom Brake and the Lib Dems support the Fairtrade Foundation and call for three things:",Enjoy a Fairtrade Break with Sarah Olney and Tom Brake,video,https://www.facebook.com/libdems/videos/10155092836983270/,2017-03-01 08:24:03,288,35,154,266,20,0,2,0,0
5883973269_10155092708888270,,Right To Stay,note,https://www.facebook.com/notes/right-to-stay/revealed-the-figures-that-show-the-uks-reliance-on-eu-workers/1286509734766083,2017-03-01 07:12:26,139,8,0,129,6,1,0,3,0
5883973269_10155087942728270,Theresa May's arrogance is breathtaking,,status,,2017-02-27 12:52:04,468,102,121,255,3,10,5,45,150
5883973269_10155071058473270,"""I was a Labour member, and was one of the people cheering (initially) when Jeremy Corbyn became leader of the Labour party, perhaps this was a chance for fairer treatment of UK residents including immigrants, more house building, a focus on keeping the NHS as it is etc.

I was pleased to find out that Labour was supporting the remain campaign in the EU referendum and was myself involved in the campaign, but the way it has been dealt with since the loss has been a joke, and it became clear to me that I was not being listened to. The Liberal Democrats seem to be the only people listening to me and others like me, so here I am.""

Luke Carter, 35, programmer, Horsham

You too can join the Liberal Democrats > www.libdems.org.uk/join",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155071058473270/?type=3,2017-02-26 03:07:02,422,32,52,400,22,0,0,0,0
5883973269_10155071052423270,"""Brexit has changed me from being a sleeping Lib Dem into a door-knocking activist! I was devastated by the vote to leave the EU and wanted to do something positive – something more than just tweeting furiously and ranting with friends. Joining the Liberal Democrats was the obvious step to take.

To me, being a Lib Dem is about being European as well as British, and about fighting for the future of liberal values against the rise of nationalism and populism. Being part of the Lib Dems gives me hope that we can succeed, and I am proud to be here.""

Naomi McCarthy, 45, editor/web manager in the arts, London

You too can join the Liberal Democrats > www.libdems.org.uk/join",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155071052423270/?type=3,2017-02-25 13:04:00,373,41,44,334,39,0,0,0,0
5883973269_10155079377213270,"Thanks to Liberal Democrat Catherine Bearder MEP the EU is set to ban raw ivory exports from 1 July!

Catherine said: ''We will not protect elephants until everyone knows that you cannot trade in ivory''",EU is set to ban raw ivory exports,video,https://www.facebook.com/libdems/videos/10155079377213270/,2017-02-24 10:53:42,743,32,219,661,71,1,0,8,2
5883973269_10155078513353270,"The Lib Dem fight-back continued in the Potteries by-election, as UKIP failed to live up to its own hype in the Leave centre of Britain.

Sal Brinton - President of the Liberal Democrats: ""We started from a low base here but our vote is picking up and this is yet another sign that the Lib Dem fight-back is on.""",Lib Dems double share of vote as Nuttall Kippered,link,http://www.libdems.org.uk/lib_dems_double_share_of_vote_as_nuttall_kippered,2017-02-24 04:43:26,722,47,51,666,42,2,11,0,1
