status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
77249349077_10155196555869078,"By 2020, a further 30,000 modern apprenticeship opportunities will be available every year.

Find out more about how we're supporting Scotland's young people: https://www.snp.org/delivering_for_scotlands_young_people",Timeline Photos,photo,https://www.facebook.com/theSNP/photos/a.339647974077.151375.77249349077/10155196555869078/?type=3,2017-03-09 15:00:00,270,29,61,251,16,0,3,0,0
77249349077_10155197215934078,"Holyrood Highlights: record NHS staff levels, International Women's Day, John Swinney at FMQs, Scottish Apprenticeship Week, and much more.","Holyrood Highlights: record NHS staff levels, International Women's Day, John Swinney at FMQs and #ScotAppWeek",link,https://storify.com/theSNP/holyrood-highlights-58c172166c6aab0f098f7618,2017-03-09 14:15:55,492,58,39,437,36,1,18,0,0
77249349077_10155196240379078,"🍎📚 Today is International School Meals Day. We've extended free school meals to all pupils in Primary 1 to 3, around 135,000 children. 

Read more about how we're supporting families: https://www.snp.org/10_ways_we_re_helping_scotland_families 

#ISMD2017",Timeline Photos,photo,https://www.facebook.com/theSNP/photos/a.339647974077.151375.77249349077/10155196240379078/?type=3,2017-03-09 09:20:14,868,63,289,806,55,4,1,0,2
77249349077_10155196009839078,We are being driven ever closer towards a catastrophic hard Brexit by a right-wing Tory government who think they can do what they want to Scotland and get away with it.,John Swinney on independence,video,https://www.facebook.com/theSNP/videos/10155196009839078/,2017-03-09 08:08:20,933,120,172,788,59,3,9,8,66
77249349077_10155195705599078,,The Scottish Parliament,video,https://www.facebook.com/scottishparliament/videos/1212905692141188/,2017-03-09 06:22:40,129,30,0,121,5,0,2,0,1
77249349077_10155195696989078,"Half of all Scots back independence, according to new poll.",Timeline Photos,photo,https://www.facebook.com/theSNP/photos/a.339647974077.151375.77249349077/10155195696989078/?type=3,2017-03-09 06:19:56,2381,284,459,2082,263,6,23,2,5
77249349077_10155195470554078,,STV poll: Half of Scots would vote for independence,link,https://stv.tv/news/politics/1382623-stv-poll-half-of-scots-would-vote-for-independence/,2017-03-09 05:01:47,2487,246,356,2220,228,15,14,5,5
77249349077_10155192877169078,"Today is International Women's Day. 

Some of our MPs and MSPs have been debating why they want everyone to stand up and #beboldforchange",SNP MPs and MSP celebrate International Women's Day,video,https://www.facebook.com/theSNP/videos/10155192877169078/,2017-03-08 15:01:34,155,32,16,143,12,0,0,0,0
77249349077_10155192614194078,"Budget 2017: here's what was missing from the Chancellor's speech.

https://www.snp.org/budget_2017_what_was_missing_from_the_chancellor_s_speech",Timeline Photos,photo,https://www.facebook.com/theSNP/photos/a.339647974077.151375.77249349077/10155192614194078/?type=3,2017-03-08 12:40:15,412,80,203,291,2,1,5,14,99
77249349077_10155192459764078,"Roger Mullin MP has told the BBC the Chancellor is ""living in a parallel universe"" over Brexit and austerity #Budget2017",Roger Mullin tells the BBC the Chancellor is living in a paral...,video,https://www.facebook.com/theSNP/videos/10155192459764078/,2017-03-08 11:39:35,357,24,81,321,18,2,13,0,3
77249349077_10155192421549078,,The Scottish Government,video,https://www.facebook.com/TheScottishGovernment/videos/1257367997651376/,2017-03-08 11:19:09,213,30,0,197,12,0,3,0,1
77249349077_10155192283969078,Stewart Hosie MP has responded to the 2017 Budget which will see the UK government attempt to cut its way to growth and balance the books on the backs of the poor and vulnerable.,Stewart Hosie responds to the 2017 Budget,video,https://www.facebook.com/theSNP/videos/10155192283969078/,2017-03-08 10:34:53,578,56,219,493,16,2,2,7,58
77249349077_10155191977519078,"With a hard Tory Brexit on the horizon, Angus Robertson challenged the Prime Minister on why, at current rates, it will take the Home Office 50 YEARS to process permanent residency applications for EU nationals.",Angus Robertson challenges why it will take the Home Office 50...,video,https://www.facebook.com/theSNP/videos/10155191977519078/,2017-03-08 08:20:49,404,70,72,341,11,3,6,0,43
77249349077_10155191794149078,"On International Women's Day, read more about how we're #BoldForChange on women's equality.",International Women's Day: how the SNP is bold for change,link,https://www.snp.org/be_bold_for_change_international_womens_day,2017-03-08 06:56:17,212,14,36,193,18,1,0,0,0
