status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47930567748_10154192157462749,"Es sind erschütternde Bilder und Nachrichten, die uns täglich aus #Aleppo erreichen. Wir dürfen nicht nachlassen und müssen weiter hartnäckig daran arbeiten, die notleidende Bevölkerung zu unterstützen. Wir alle können etwas tun, um den Menschen in Syrien zu helfen. Jetzt spenden! http://spdlink.de/syrienwinterhilfe",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154192157462749/?type=3,2016-12-15 09:56:11,222,110,84,188,10,0,2,20,2,SPD
47930567748_10154191987062749,"Knobelaufgabe: Wenn das SPD-geführte Bundesministerium für Arbeit und Soziales im ersten Entwurf vom #Armutsbericht etwas geschrieben hat, was im zweiten Entwurf - der durchs Kanzleramt ging - fehlt: Wer hat dann wohl gestrichen?",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154191987062749/?type=3,2016-12-15 06:36:56,1964,495,732,1788,29,12,115,4,16,SPD
47930567748_10154190242812749,"Wer in Deutschland geboren und aufgewachsen ist, der soll später nicht wieder zum Ausländer gemacht werden. Hier geborene Kinder können beides sein: Deutsche und Polen. Deutsche und Russen. Deutsche und Türken. Deswegen geht das Abendland nicht unter. Mehrstaatlichkeit ist längst Alltag in Deutschland. Wir sagen ""Ja"" zu einem modernen Staatsangehörigkeitsrecht. Jetzt unterschreiben! http://spdlink.de/s2fp #Staatsbürgerschaft #Gerechtigkeit",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154190242812749/?type=3,2016-12-15 02:30:00,726,114,106,696,17,2,6,2,3,SPD
47930567748_10154189455927749,"Kinder und Eltern brauchen Zeit. Zum Freunde Treffen, zum Arbeiten, für sich. Wir helfen ihnen dabei.

Deswegen werden wir die Länder bis 2020 mit 1,1 Milliarden Euro unterstützen. Für 100.000 zusätzliche Kita-Plätze und für eine bessere Betreuung.",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154189455927749/?type=3,2016-12-14 10:06:53,265,60,105,246,7,3,6,1,2,SPD
47930567748_10154185546607749,"Zeigt Haltung gegen Hetze - mit eurer Handschrift! Einfach auf unserer Themenseite die Vorlage runterladen, ausdrucken, beschriften - und dann das Foto posten. Außerdem findet ihr hier weitere wichtige Infos zum Umgang mit Hetze im Netz. #gegenhalten",Haltung gegen Hetze,link,https://www.spd.de/stimmefuervernunft/haltung-gegen-hetze/,2016-12-14 02:00:00,195,79,34,181,5,2,7,0,0,SPD
47930567748_10154185453527749,"Hass hat in Deutschland weder eine Mehrheit noch eine Chance.
Mach mit und zeig es den Populisten und Pöblern.
Einfach hier die Vorlage runterladen, ausdrucken, beschriften, fotografieren und mit Hashtag #gegenhalten posten:
http://spdlink.de/Meine_Handschrift_gegen_Hetze",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154185453527749/?type=3,2016-12-13 11:32:39,1419,232,537,1331,47,1,39,0,1,SPD
47930567748_10154182014742749,"Im Netz wie am Stammtisch gilt: Gegen Populisten und Pöbler muss man ebenso #gegenhalten wie gegen jene, die mit Falschinformationen und Lügen das Diskussionsklima vergiften. Für uns ist klar: „Social bots"" und „fake news"" wird es mit uns nicht geben! Aus diesem Grund schlagen wir den anderen Parteien ein Fairnessabkommen vor, in dem wir gemeinschaftlich auf solche Mittel im Wahlkampf verzichten. Im Bundestagswahlkampf dürfen Kriminelle, die im Internet manipulieren, nicht mit der Toleranz der Parteien rechnen.",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154182014742749/?type=3,2016-12-12 11:54:49,469,128,102,438,12,0,15,0,4,SPD
47930567748_10154181644122749,"Es ist nicht wichtig, wie viele Pässe jemand in der Hosentasche hat, sondern was er im Herzen trägt. Wir sagen „Ja"" zu einem modernen Staatsangehörigkeitsrecht in Deutschland. Jetzt unterschreiben: http://spdlink.de/s2fp #Gerechtigkeit #Staatsbürgerschaft",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154181644122749/?type=3,2016-12-12 09:28:26,504,57,147,477,16,0,6,2,3,SPD
47930567748_10154171665557749,Wir wünschen allen einen schönen dritten #Advent. (Nur noch zwei Wochen bis #Weihnachten!),Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154171665557749/?type=3,2016-12-11 03:20:01,436,41,163,429,4,0,3,0,0,SPD
47930567748_10154171678212749,"#Gegenhalten heißt Menschenrechte verteidigen.
Am #TagderMenschenrechte und jeden Tag.
Mach mit: https://www.spd.de/unterstuetzen/mitglied-werden/",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154171678212749/?type=3,2016-12-10 03:00:02,834,102,265,787,36,3,8,0,0,SPD
47930567748_10154171848987749,"15.000 Verkäuferinnen, Fleischer, Lagerarbeiter, Fahrer, Verwaltungsmitarbeiter und alle anderen Mitarbeiter von #KaisersTengelmann - und ihre Familien - können endlich aufatmen. Ihre Jobs sind dauerhaft gerettet!",Sigmar Gabriel,video,https://www.facebook.com/sigmar.gabriel/videos/1389530351079683/,2016-12-09 12:24:12,732,62,0,696,22,6,4,0,4,SPD
47930567748_10154170835672749,"#Postfaktisch ist heute zum Wort des Jahres gewählt worden.
Wir finden: Fakten kannste schon leugnen, aber dann wird's halt auch nicht besser.
Wer lieber die Welt anstelle der Wahrheit verändern will: https://eintreten.spd.de #gegenhalten",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154170835672749/?type=3,2016-12-09 05:40:08,1481,264,930,1391,47,4,35,0,4,SPD
47930567748_10154165988372749,"Fast ein Jahrhundert Zeitgeschichte hat er miterlebt, lange Zeit prägte Erhard Eppler das Gesicht der SPD. Der streitbare Sozialdemokrat feiert seinen 90. Geburtstag. Herzlichen Glückwunsch, lieber Erhard!  Sigmar Gabriel und wir gratulieren herzlich: http://spdlink.de/sSYK",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154165988372749/?type=3,2016-12-09 02:00:01,690,37,115,668,17,5,0,0,0,SPD
47930567748_10154165805047749,Die CSU will #Leitkultur per Gesetz. Was sie darunter versteht:,Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154165805047749/?type=3,2016-12-08 10:50:41,344,60,50,274,2,1,63,1,3,SPD
47930567748_10154161004282749,"„Mein Vater ist in einem völlig sinnlosen Krieg gefallen, der Abermillionen Opfer gekostet hat. Er hatte keine Chance, in der Nazi-Diktatur etwas zu bewegen"", sagt Ex-Kanzler Gerhard Schröder. „Heute haben wir eine offene, demokratische Gesellschaft - die es wahrlich zu verteidigen gilt. Gegen jede Form von Antisemitismus und Ausländerfeindlichkeit."" Nutze deine http://stimmefuervernunft.spd.de und engagiere dich gegen Populismus und Intoleranz: https://www.spd.de/unterstuetzen/mitglied-werden #gegenhalten #StimmeFuerVernunft",Gerhard Schröder - Meine Stimme für Vernunft,video,https://www.facebook.com/SPD/videos/10154161004282749/,2016-12-08 02:00:00,3278,318,1110,3134,104,13,10,5,12,SPD
