status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47217143218_10155772704728219,"Gracias Barcelona! Toll, dass gestern Hunderttausende Menschen für ein offenes und menschliches Europa auf die Straße gegangen sind. Ihre Forderung: Die spanische Regierung soll ihre Zusagen einhalten und mehr Flüchtlinge aus anderen EU-Ländern aufnehmen. Teilt dieses Bild für ein Europa, das zusammen hält!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155772704728219/?type=3,2017-02-19 04:07:26,3251,209,764,2988,218,14,24,0,7,B90DieGruenen
47217143218_10155770284098219,,Cem Özdemir,video,https://www.facebook.com/Cem/videos/10154826782552881/,2017-02-18 12:20:37,885,116,1,837,31,4,6,1,6,B90DieGruenen
47217143218_10155766162998219,"Nur Grün wächst! Mit 61.596 Grünen sind wir mehr als je zuvor. Wir sind die einzige Partei, die in den letzten 20 Jahren zugelegt hat. Die anderen Parteien schrumpfen. Komm ins Team, teile das Bild und kämpfe mit uns für eine offene und gerechte Gesellschaft! www.gruene.de/mitglied",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155766162998219/?type=3,2017-02-18 03:05:02,869,231,222,764,41,2,47,3,12,B90DieGruenen
47217143218_10155765481483219,"Wo Managergehälter und Boni in Millionenhöhe Standard sind, kann von Fairness und Gerechtigkeit keine Rede sein. Katrin Göring-Eckardt fordert in ihrer Rede vor dem Bundestag daher ein klares Stoppsignal. Denn ob Winterkorn oder Hohmann-Dennhardt - die obszön hohen Summen zeigen, dass wir klare Regeln brauchen, um Managerbezüge auf ein vernünftiges Maß zu begrenzen.",Bündnis 90/Die Grünen Bundestagsfraktion,video,https://www.facebook.com/Gruene.im.Bundestag/videos/10155213565145116/,2017-02-17 09:27:35,317,70,0,294,9,1,8,2,3,B90DieGruenen
47217143218_10155764363343219,"In einigen Vorstandsetagen verdienen Manager in einem Jahr so viel, wie Facharbeiter im selben Unternehmen in 100 Jahren. Boni, Gehälter und Abfindungen können vollständig von der Steuer abgesetzt werden. Doch die Große Koalition unternimmt nichts. Wie wir für mehr Gerechtigkeit sorgen wollen, erklärt Can in der neuesten #Oppovision. Ihr teilt seine Meinung? Dann teilt bitte das Video.",Bündnis 90/Die Grünen Bundestagsfraktion,video,https://www.facebook.com/Gruene.im.Bundestag/videos/10155206439330116/,2017-02-17 03:41:43,163,48,0,135,9,1,5,2,11,B90DieGruenen
47217143218_10155761231123219,"Neue Daten zeigen: Das Eis in der Antarktis schmilzt so stark wie nie zuvor. Die gefährliche Erhitzung des Planeten geht dabei nicht nur zu Lasten der Pinguine. Wir alle bekommen die Auswirkungen der Klimakrise zu spüren. Doch es gibt Lösungen: Wir müssen raus aus Kohle und Gas, rein in Energie aus Sonne, Wind und Wasser. Teilt das Foto, denn: Wir müssen JETZT handeln!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155761231123219/?type=3,2017-02-16 11:52:03,439,79,195,390,14,2,7,21,5,B90DieGruenen
47217143218_10155759986958219,"Mitgliederrekord! So viele Grüne waren wir noch nie! Diese turbulenten Zeiten zeigen: Füße hochlegen und auf Besserung warten funktioniert nicht mehr. Wir müssen selber anpacken. Für unsere Demokratie. Für die Umwelt. Für ein offenes und soziales Miteinander. Jetzt fehlst nur noch DU! Wer schon Mitglied ist, teilt das Video – alle anderen hier entlang: www.gruene.de/mitglied",Grüner Mitgliederrekord,video,https://www.facebook.com/B90DieGruenen/videos/10155759986958219/,2017-02-16 05:56:18,624,144,524,570,16,5,25,0,8,B90DieGruenen
47217143218_10155756314288219,"Wie man aus einer Krise eine Chance macht, beweist Opel mit seinem Alternativplan zum Verkauf an Peugeot. Opel-Chef Neumann überlegt, schon ab 2030 voll auf Elektroautos umzusteigen. Auch wir wollen ab 2030 nur noch abgasfreie Neuwagen zulassen. Teile jetzt die Idee zum Antrieb der Zukunft: Für saubere Luft, unser Klima und die Rettung der deutschen Autoindustrie.",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155756314288219/?type=3,2017-02-15 12:43:51,1010,234,225,889,32,9,65,2,13,B90DieGruenen
47217143218_10155755549168219,"Die GRÜNEN im Europäischen Parlament haben heute NEIN zu CETA gesagt. Wir lieben vieles an #Kanada, das geplante Handelsabkommen gehört nicht dazu. Wir sind für freien und fairen Handel. Aber #CETA wurde instransparent verhandelt, sieht undemokratische Investorenklagerechte vor und bedroht  europäische Umwelt- und Sozialstandards. Teile das GIF und setze Dich mit uns für faire Handelsabkommen ein. (Credit: Greens/EFA)",gph.is,link,http://gph.is/2kJlrES,2017-02-15 07:55:44,1274,185,306,1083,11,13,50,22,95,B90DieGruenen
47217143218_10155755246228219,"„Liebes Europa, ich habe Deine Sterne zu sehr geliebt, um Angst vor der Dunkelheit zu haben."" Gestern hat der österreichische Bundespräsident Alexander Van der Bellen in seiner Rede vor dem Europäischen Parlament deutlich gemacht: Europa ist die Antwort auf die Herausforderungen unserer Zeit. Teilt seine Rede und verbreitet die Botschaft: Demokratie, Weltoffenheit und Toleranz werden über den Nationalismus siegen.",European Parliament,video,https://www.facebook.com/europeanparliament/videos/10158418928410107/,2017-02-15 05:03:22,236,28,0,225,10,1,0,0,0,B90DieGruenen
